sample,V,frequency_tool,tool,J,frequency_TCR
CMT-baseline1C_CAGATC,TRBV10,6.386562672137822e-05,MIXCR,,0.00651159084075964
CMT-baseline1C_CAGATC,TRBV10,5.632438338881285e-06,IMREP,,0.00651159084075964
CMT-baseline1C_CAGATC,TRBV11,4.789922004103366e-05,MIXCR,,0.003202391184989266
CMT-baseline1C_CAGATC,TRBV12,8.781523674189505e-05,MIXCR,,0.0002047162356637831
CMT-baseline1C_CAGATC,TRBV12,2.5345972524965784e-05,IMREP,,0.0002047162356637831
CMT-baseline1C_CAGATC,TRBV14,1.5966406680344554e-05,MIXCR,,0.0015171563693606653
CMT-baseline1C_CAGATC,TRBV14,5.632438338881285e-06,IMREP,,0.0015171563693606653
CMT-baseline1C_CAGATC,TRBV18,7.18488300615505e-05,MIXCR,,0.00281189858784091
CMT-baseline1C_CAGATC,TRBV18,8.448657508321927e-06,IMREP,,0.00281189858784091
CMT-baseline1C_CAGATC,TRBV2,1.5966406680344554e-05,MIXCR,,0.0047866133383287655
CMT-baseline1C_CAGATC,TRBV2,5.632438338881285e-06,IMREP,,0.0047866133383287655
CMT-baseline1C_CAGATC,TRBV20,3.193281336068911e-05,MIXCR,,0.0001289567389469533
CMT-baseline1C_CAGATC,TRBV27,7.184883006155051e-05,MIXCR,,0.005170378657763201
CMT-baseline1C_CAGATC,TRBV27,1.97135341860845e-05,IMREP,,0.005170378657763201
CMT-baseline1C_CAGATC,TRBV28,5.588242338120594e-05,MIXCR,,0.005648222368612386
CMT-baseline1C_CAGATC,TRBV28,1.126487667776257e-05,IMREP,,0.005648222368612386
CMT-baseline1C_CAGATC,TRBV30,1.5966406680344554e-05,MIXCR,,0.0007260285102029525
CMT-baseline1C_CAGATC,TRBV4,3.193281336068911e-05,MIXCR,,0.0039054434543846603
CMT-baseline1C_CAGATC,TRBV4,2.8162191694406424e-05,IMREP,,0.0039054434543846603
CMT-baseline1C_CAGATC,TRBV5,6.386562672137822e-05,MIXCR,,0.009539797281248397
CMT-baseline1C_CAGATC,TRBV5,1.6897315016643855e-05,IMREP,,0.009539797281248397
CMT-baseline1C_CAGATC,TRBV6,2.394961002051683e-05,MIXCR,,0.011442892398228011
CMT-baseline1C_CAGATC,TRBV7,0.0001676472701436178,MIXCR,,0.010072804669351764
CMT-baseline1C_CAGATC,TRBV7,3.9427068372169e-05,IMREP,,0.010072804669351764
CMT-baseline1C_CAGATC,TRBV9,1.5966406680344554e-05,MIXCR,,0.0022784772134166738
ESO1-sorted-T-cells_S13_L007,TRBV10,0.0007456262654429521,MIXCR,,1.8836377598993157e-05
ESO1-sorted-T-cells_S13_L007,TRBV10,0.0003013354511301487,IMREP,,1.8836377598993157e-05
ESO1-sorted-T-cells_S13_L007,TRBV11,0.0027248699700536984,MIXCR,,4.7194440577697096e-05
ESO1-sorted-T-cells_S13_L007,TRBV11,0.0021600401029609737,IMREP,,4.7194440577697096e-05
ESO1-sorted-T-cells_S13_L007,TRBV12,0.0017943526387895386,MIXCR,,3.456785779155879e-05
ESO1-sorted-T-cells_S13_L007,TRBV12,0.0020558399936916687,IMREP,,3.456785779155879e-05
ESO1-sorted-T-cells_S13_L007,TRBV13,0.0002879451025084563,MIXCR,,3.4153871470701936e-06
ESO1-sorted-T-cells_S13_L007,TRBV14,0.0002091390744535106,MIXCR,,1.262658278613829e-05
ESO1-sorted-T-cells_S13_L007,TRBV14,0.0001464433968109134,IMREP,,1.262658278613829e-05
ESO1-sorted-T-cells_S13_L007,TRBV15,0.0003000691068246019,MIXCR,,1.0660147762067575e-05
ESO1-sorted-T-cells_S13_L007,TRBV15,7.040547923601607e-05,IMREP,,1.0660147762067575e-05
ESO1-sorted-T-cells_S13_L007,TRBV16,1.515500539518192e-05,MIXCR,,1.7594418636422203e-06
ESO1-sorted-T-cells_S13_L007,TRBV18,0.0005183011845152213,MIXCR,,1.93538605000644e-05
ESO1-sorted-T-cells_S13_L007,TRBV18,0.0005153681080076377,IMREP,,1.93538605000644e-05
ESO1-sorted-T-cells_S13_L007,TRBV19,0.0008820213139995902,MIXCR,,4.584898503491185e-05
ESO1-sorted-T-cells_S13_L007,TRBV19,0.00149822859814242,IMREP,,4.584898503491185e-05
ESO1-sorted-T-cells_S13_L007,TRBV2,0.0012336174391678115,MIXCR,,4.0984645764842186e-05
ESO1-sorted-T-cells_S13_L007,TRBV2,0.0011912607086733916,IMREP,,4.0984645764842186e-05
ESO1-sorted-T-cells_S13_L007,TRBV20,0.0034917132430499096,MIXCR,,6.779026004033238e-05
ESO1-sorted-T-cells_S13_L007,TRBV20,1.126487667776257e-05,IMREP,,6.779026004033238e-05
ESO1-sorted-T-cells_S13_L007,TRBV21,6.668202373880045e-05,MIXCR,,4.1398632085699315e-06
ESO1-sorted-T-cells_S13_L007,TRBV23,3.940301402747299e-05,MIXCR,,1.7594418636422203e-06
ESO1-sorted-T-cells_S13_L007,TRBV24,0.00047586716940871204,MIXCR,,7.244760614997381e-06
ESO1-sorted-T-cells_S13_L007,TRBV25,0.0003273481165359293,MIXCR,,5.0713324304981665e-06
ESO1-sorted-T-cells_S13_L007,TRBV25,0.00031823276614679265,IMREP,,5.0713324304981665e-06
ESO1-sorted-T-cells_S13_L007,TRBV27,0.001297268461827573,MIXCR,,3.218743644663111e-05
ESO1-sorted-T-cells_S13_L007,TRBV27,0.0013658662971787116,IMREP,,3.218743644663111e-05
ESO1-sorted-T-cells_S13_L007,TRBV28,0.0016094615729683186,MIXCR,,1.655945283427972e-05
ESO1-sorted-T-cells_S13_L007,TRBV28,0.001253217530401086,IMREP,,1.655945283427972e-05
ESO1-sorted-T-cells_S13_L007,TRBV29,0.0015488415513875914,MIXCR,,1.9664350240707137e-05
ESO1-sorted-T-cells_S13_L007,TRBV29,6.195682172769414e-05,IMREP,,1.9664350240707137e-05
ESO1-sorted-T-cells_S13_L007,TRBV3,0.0009062693226318814,MIXCR,,3.084198090384586e-05
ESO1-sorted-T-cells_S13_L007,TRBV3,0.0009209036684070898,IMREP,,3.084198090384586e-05
ESO1-sorted-T-cells_S13_L007,TRBV30,0.00021520107661158336,MIXCR,,1.8836377598993157e-05
ESO1-sorted-T-cells_S13_L007,TRBV30,0.00031823276614679265,IMREP,,1.8836377598993157e-05
ESO1-sorted-T-cells_S13_L007,TRBV4,0.002252033801724024,MIXCR,,4.3054577369127156e-05
ESO1-sorted-T-cells_S13_L007,TRBV4,0.0014137420230592025,IMREP,,4.3054577369127156e-05
ESO1-sorted-T-cells_S13_L007,TRBV5,0.0034553412301014737,MIXCR,,7.2240612989545e-05
ESO1-sorted-T-cells_S13_L007,TRBV5,0.003052781579673658,IMREP,,7.2240612989545e-05
ESO1-sorted-T-cells_S13_L007,TRBV6,0.3751833755652821,MIXCR,,0.008551404940202125
ESO1-sorted-T-cells_S13_L007,TRBV6,0.5662374748652438,IMREP,,0.008551404940202125
ESO1-sorted-T-cells_S13_L007,TRBV7,0.004782919702719412,MIXCR,,8.993852820618131e-05
ESO1-sorted-T-cells_S13_L007,TRBV7,0.004551010177816087,IMREP,,8.993852820618131e-05
ESO1-sorted-T-cells_S13_L007,TRBV9,0.0013397024769340824,MIXCR,,4.63664679359831e-05
INY1-sorted-T-cells_S14_L007,TRBV10,0.0009991967242021118,MIXCR,,2.018183314177838e-05
INY1-sorted-T-cells_S14_L007,TRBV10,0.0005097356696687563,IMREP,,2.018183314177838e-05
INY1-sorted-T-cells_S14_L007,TRBV11,0.0016947160126173073,MIXCR,,1.8008404957279184e-05
INY1-sorted-T-cells_S14_L007,TRBV11,0.0008195197783072265,IMREP,,1.8008404957279184e-05
INY1-sorted-T-cells_S14_L007,TRBV12,0.0020375776336670516,MIXCR,,2.514966899206226e-05
INY1-sorted-T-cells_S14_L007,TRBV12,0.0012757472837566098,IMREP,,2.514966899206226e-05
INY1-sorted-T-cells_S14_L007,TRBV13,0.00040163789894398613,MIXCR,,1.655945283427972e-06
INY1-sorted-T-cells_S14_L007,TRBV14,0.00026449325052408843,MIXCR,,7.969236676497119e-06
INY1-sorted-T-cells_S14_L007,TRBV14,0.00020840021853860756,IMREP,,7.969236676497119e-06
INY1-sorted-T-cells_S14_L007,TRBV15,0.00029388138947120937,MIXCR,,5.48531875135516e-06
INY1-sorted-T-cells_S14_L007,TRBV15,6.477304089713477e-05,IMREP,,5.48531875135516e-06
INY1-sorted-T-cells_S14_L007,TRBV16,1.9592092631413958e-05,MIXCR,,2.0699316042849653e-06
INY1-sorted-T-cells_S14_L007,TRBV18,0.0007347034736780234,MIXCR,,9.935671700567838e-06
INY1-sorted-T-cells_S14_L007,TRBV18,0.0004843896971437908,IMREP,,9.935671700567838e-06
INY1-sorted-T-cells_S14_L007,TRBV19,0.0010481769557806467,MIXCR,,5.8993050722121255e-05
INY1-sorted-T-cells_S14_L007,TRBV19,0.0010842443802346457,IMREP,,5.8993050722121255e-05
INY1-sorted-T-cells_S14_L007,TRBV2,0.0013224662526204421,MIXCR,,2.6288131374418983e-05
INY1-sorted-T-cells_S14_L007,TRBV2,0.0005970384639214166,IMREP,,2.6288131374418983e-05
INY1-sorted-T-cells_S14_L007,TRBV20,0.0030269783115534563,MIXCR,,4.2433597887841577e-05
INY1-sorted-T-cells_S14_L007,TRBV20,8.448657508321927e-06,IMREP,,4.2433597887841577e-05
INY1-sorted-T-cells_S14_L007,TRBV21,0.0001861248799984326,MIXCR,,3.4153871470701936e-06
INY1-sorted-T-cells_S14_L007,TRBV23,9.796046315706982e-05,MIXCR,,2.0699316042849653e-07
INY1-sorted-T-cells_S14_L007,TRBV23,5.632438338881285e-06,IMREP,,2.0699316042849653e-07
INY1-sorted-T-cells_S14_L007,TRBV24,0.0006073548715738327,MIXCR,,4.4503529492126765e-06
INY1-sorted-T-cells_S14_L007,TRBV25,0.0003330655747340373,MIXCR,,6.10629823264065e-06
INY1-sorted-T-cells_S14_L007,TRBV25,0.00022248131438581083,IMREP,,6.10629823264065e-06
INY1-sorted-T-cells_S14_L007,TRBV27,0.003634333183127289,MIXCR,,5.7440602018907516e-05
INY1-sorted-T-cells_S14_L007,TRBV27,0.002309299718941328,IMREP,,5.7440602018907516e-05
INY1-sorted-T-cells_S14_L007,TRBV28,0.002870241570502145,MIXCR,,1.945735708027865e-05
INY1-sorted-T-cells_S14_L007,TRBV28,0.000949065860101496,IMREP,,1.945735708027865e-05
INY1-sorted-T-cells_S14_L007,TRBV29,0.0019788013557728097,MIXCR,,1.1384623823567315e-05
INY1-sorted-T-cells_S14_L007,TRBV29,3.097841086384707e-05,IMREP,,1.1384623823567315e-05
INY1-sorted-T-cells_S14_L007,TRBV3,0.0006073548715738327,MIXCR,,2.6391627954633223e-05
INY1-sorted-T-cells_S14_L007,TRBV3,0.00034076251950231783,IMREP,,2.6391627954633223e-05
INY1-sorted-T-cells_S14_L007,TRBV30,0.00039184185262827916,MIXCR,,2.111330236370661e-05
INY1-sorted-T-cells_S14_L007,TRBV30,0.00040553556039945286,IMREP,,2.111330236370661e-05
INY1-sorted-T-cells_S14_L007,TRBV4,0.002272682745244019,MIXCR,,4.667695767662573e-05
INY1-sorted-T-cells_S14_L007,TRBV4,0.0007913575866128192,IMREP,,4.667695767662573e-05
INY1-sorted-T-cells_S14_L007,TRBV5,0.0031151427283948193,MIXCR,,5.412871145205154e-05
INY1-sorted-T-cells_S14_L007,TRBV5,0.002050207555352784,IMREP,,5.412871145205154e-05
INY1-sorted-T-cells_S14_L007,TRBV6,0.3708685174663499,MIXCR,,0.008322574001348467
INY1-sorted-T-cells_S14_L007,TRBV6,0.1284421238798479,IMREP,,0.008322574001348467
INY1-sorted-T-cells_S14_L007,TRBV7,0.0099723751493896,MIXCR,,0.00010805042974367464
INY1-sorted-T-cells_S14_L007,TRBV7,0.005384611051970485,IMREP,,0.00010805042974367464
INY1-sorted-T-cells_S14_L007,TRBV9,0.0019592092631413958,MIXCR,,3.187694670598833e-05
INY1-sorted-T-cells_S14_L007,TRBV9,5.632438338881285e-06,IMREP,,3.187694670598833e-05
INY2-sorted-T-cells_S15_L007,TRBV10,0.000505557300324016,MIXCR,,6.240843786919147e-05
INY2-sorted-T-cells_S15_L007,TRBV10,0.00018868668435252306,IMREP,,6.240843786919147e-05
INY2-sorted-T-cells_S15_L007,TRBV11,0.0018613700602838764,MIXCR,,9.200845981046636e-05
INY2-sorted-T-cells_S15_L007,TRBV11,0.00083360087415443,IMREP,,9.200845981046636e-05
INY2-sorted-T-cells_S15_L007,TRBV12,0.004511715907437061,MIXCR,,0.0003053149116320353
INY2-sorted-T-cells_S15_L007,TRBV12,0.0032245709490095415,IMREP,,0.0003053149116320353
INY2-sorted-T-cells_S15_L007,TRBV13,0.0006970562777194766,MIXCR,,3.725876887712928e-05
INY2-sorted-T-cells_S15_L007,TRBV14,0.00024511869106618974,MIXCR,,2.866855271934666e-05
INY2-sorted-T-cells_S15_L007,TRBV14,0.00014081095847203213,IMREP,,2.866855271934666e-05
INY2-sorted-T-cells_S15_L007,TRBV15,0.00010723942734145798,MIXCR,,1.9146867339635906e-05
INY2-sorted-T-cells_S15_L007,TRBV15,1.6897315016643855e-05,IMREP,,1.9146867339635906e-05
INY2-sorted-T-cells_S15_L007,TRBV16,4.595975457491057e-05,MIXCR,,3.829373467927186e-06
INY2-sorted-T-cells_S15_L007,TRBV16,5.632438338881285e-06,IMREP,,3.829373467927186e-06
INY2-sorted-T-cells_S15_L007,TRBV18,0.0005438570958031081,MIXCR,,3.280841592791656e-05
INY2-sorted-T-cells_S15_L007,TRBV18,0.00036329227285784296,IMREP,,3.280841592791656e-05
INY2-sorted-T-cells_S15_L007,TRBV19,0.001087714191606216,MIXCR,,0.00020409525618250252
INY2-sorted-T-cells_S15_L007,TRBV19,0.0012025255853511517,IMREP,,0.00020409525618250252
INY2-sorted-T-cells_S15_L007,TRBV2,0.000834935541444208,MIXCR,,9.128398374896652e-05
INY2-sorted-T-cells_S15_L007,TRBV2,0.0005210005463465191,IMREP,,9.128398374896652e-05
INY2-sorted-T-cells_S15_L007,TRBV20,0.001325172923576587,MIXCR,,8.724761712061087e-05
INY2-sorted-T-cells_S15_L007,TRBV21,0.0002297987728745529,MIXCR,,5.1437800366481325e-05
INY2-sorted-T-cells_S15_L007,TRBV21,1.126487667776257e-05,IMREP,,5.1437800366481325e-05
INY2-sorted-T-cells_S15_L007,TRBV23,0.00012255934553309484,MIXCR,,4.1398632085699315e-06
INY2-sorted-T-cells_S15_L007,TRBV24,0.0001838390182996423,MIXCR,,1.3661548588280776e-05
INY2-sorted-T-cells_S15_L007,TRBV25,0.00016851910010800544,MIXCR,,1.811190153749343e-05
INY2-sorted-T-cells_S15_L007,TRBV25,9.856767093042246e-05,IMREP,,1.811190153749343e-05
INY2-sorted-T-cells_S15_L007,TRBV27,0.0017311507556549632,MIXCR,,0.00019364210158086237
INY2-sorted-T-cells_S15_L007,TRBV27,0.0012729310645871678,IMREP,,0.00019364210158086237
INY2-sorted-T-cells_S15_L007,TRBV28,0.00037533799569510287,MIXCR,,1.552448703213724e-05
INY2-sorted-T-cells_S15_L007,TRBV28,0.00020276778019972624,IMREP,,1.552448703213724e-05
INY2-sorted-T-cells_S15_L007,TRBV29,0.0010723942734145791,MIXCR,,6.302941735047698e-05
INY2-sorted-T-cells_S15_L007,TRBV29,3.097841086384707e-05,IMREP,,6.302941735047698e-05
INY2-sorted-T-cells_S15_L007,TRBV3,0.0004366176684616502,MIXCR,,7.720844883982887e-05
INY2-sorted-T-cells_S15_L007,TRBV3,0.0002759894786051831,IMREP,,7.720844883982887e-05
INY2-sorted-T-cells_S15_L007,TRBV30,0.00012255934553309484,MIXCR,,9.739028198160713e-05
INY2-sorted-T-cells_S15_L007,TRBV30,0.00025909216358853925,IMREP,,9.739028198160713e-05
INY2-sorted-T-cells_S15_L007,TRBV4,0.001401772514534771,MIXCR,,0.0001257483449603113
INY2-sorted-T-cells_S15_L007,TRBV4,0.0006308330939547034,IMREP,,0.0001257483449603113
INY2-sorted-T-cells_S15_L007,TRBV5,0.0017694505511340554,MIXCR,,0.0002186882739927123
INY2-sorted-T-cells_S15_L007,TRBV5,0.001337704105484302,IMREP,,0.0002186882739927123
INY2-sorted-T-cells_S15_L007,TRBV6,0.37684700763698004,MIXCR,,0.029256206301803114
INY2-sorted-T-cells_S15_L007,TRBV6,0.15347267985783616,IMREP,,0.029256206301803114
INY2-sorted-T-cells_S15_L007,TRBV7,0.005415591080743658,MIXCR,,0.00035882264360280713
INY2-sorted-T-cells_S15_L007,TRBV7,0.003908912207183637,IMREP,,0.00035882264360280713
INY2-sorted-T-cells_S15_L007,TRBV9,0.0008502554596358449,MIXCR,,0.00011601966642017168
JSSBaseline-RNA_GTGAAA,TRBV10,0.0001603720631865929,MIXCR,,0.012821052860360877
JSSBaseline-RNA_GTGAAA,TRBV11,0.00038756581936759947,MIXCR,,0.007095104560007585
JSSBaseline-RNA_GTGAAA,TRBV12,0.0002539224333787721,MIXCR,,0.0006463361434379805
JSSBaseline-RNA_GTGAAA,TRBV12,6.477304089713478e-05,IMREP,,0.0006463361434379805
JSSBaseline-RNA_GTGAAA,TRBV14,2.6728677197765484e-05,MIXCR,,0.0016323480631391227
JSSBaseline-RNA_GTGAAA,TRBV18,4.009301579664822e-05,MIXCR,,0.0018400656996291188
JSSBaseline-RNA_GTGAAA,TRBV19,5.345735439553097e-05,MIXCR,,0.012306260870375235
JSSBaseline-RNA_GTGAAA,TRBV19,5.632438338881285e-06,IMREP,,0.012306260870375235
JSSBaseline-RNA_GTGAAA,TRBV2,4.009301579664822e-05,MIXCR,,0.007795569414897602
JSSBaseline-RNA_GTGAAA,TRBV20,0.00048111618955977865,MIXCR,,0.00026588271457040415
JSSBaseline-RNA_GTGAAA,TRBV21,9.35503701921792e-05,MIXCR,,0.0007612173474757962
JSSBaseline-RNA_GTGAAA,TRBV27,2.6728677197765484e-05,MIXCR,,0.004829564419117682
JSSBaseline-RNA_GTGAAA,TRBV28,0.00013364338598882743,MIXCR,,0.0045371865800124265
JSSBaseline-RNA_GTGAAA,TRBV29,9.355037019217918e-05,MIXCR,,0.0018488629089473269
JSSBaseline-RNA_GTGAAA,TRBV30,2.6728677197765484e-05,MIXCR,,0.0016374193955696172
JSSBaseline-RNA_GTGAAA,TRBV4,0.00010691470879106192,MIXCR,,0.005001575735433756
JSSBaseline-RNA_GTGAAA,TRBV5,0.00012027904738994466,MIXCR,,0.019419580828500368
JSSBaseline-RNA_GTGAAA,TRBV6,0.000414294496565365,MIXCR,,0.016858040468197683
